X (mm),Y (mm),Label
72.17021277,1.24822695,1
72.17021277,1.361702128,1
72.05673759,1.134751773,1
72.05673759,1.24822695,1
71.94326241,1.134751773,1
71.94326241,1.24822695,1
71.82978723,1.134751773,1
71.82978723,1.24822695,1
71.71631206,1.134751773,1
71.71631206,1.24822695,1
71.60283688,1.24822695,1
71.60283688,1.361702128,1
71.4893617,1.24822695,1
71.4893617,1.361702128,1
71.37588652,1.24822695,1
71.37588652,1.361702128,1
71.26241135,1.24822695,1
71.26241135,1.361702128,1
71.14893617,1.24822695,1
71.14893617,1.361702128,1
71.03546099,1.24822695,1
71.03546099,1.361702128,1
70.92198582,1.24822695,1
70.92198582,1.361702128,1
70.80851064,1.24822695,1
70.80851064,1.361702128,1
70.69503546,1.134751773,1
70.69503546,1.24822695,1
70.69503546,1.361702128,1
70.58156028,1.24822695,1
70.58156028,1.361702128,1
70.58156028,1.475177305,1
70.46808511,1.361702128,1
70.46808511,1.475177305,1
70.35460993,1.475177305,1
70.35460993,1.588652482,1
70.24113475,1.588652482,1
70.24113475,1.70212766,1
70.12765957,1.70212766,1
70.12765957,1.815602837,1
70.0141844,1.815602837,1
70.0141844,1.929078014,1
69.90070922,1.815602837,1
69.90070922,1.929078014,1
69.78723404,1.929078014,1
69.78723404,2.042553191,1
69.67375887,2.042553191,1
69.67375887,2.156028369,1
69.56028369,2.042553191,1
69.56028369,2.156028369,1
69.44680851,2.156028369,1
69.44680851,2.269503546,1
69.33333333,2.156028369,1
69.33333333,2.269503546,1
69.33333333,2.382978723,1
69.21985816,2.269503546,1
69.21985816,2.382978723,1
69.21985816,2.496453901,1
69.21985816,2.609929078,1
69.10638298,2.496453901,1
69.10638298,2.609929078,1
69.10638298,2.723404255,1
68.9929078,2.609929078,1
68.9929078,2.723404255,1
68.87943262,2.723404255,1
68.87943262,2.836879433,1
68.76595745,2.836879433,1
68.76595745,2.95035461,1
68.65248227,2.836879433,1
68.65248227,2.95035461,1
68.53900709,2.95035461,1
68.53900709,3.063829787,1
68.42553191,3.063829787,1
68.42553191,3.177304965,1
68.31205674,3.177304965,1
68.31205674,3.290780142,1
68.19858156,3.290780142,1
68.19858156,3.404255319,1
68.08510638,3.404255319,1
68.08510638,3.517730496,1
67.97163121,3.517730496,1
67.97163121,3.631205674,1
67.85815603,3.631205674,1
67.85815603,3.744680851,1
67.74468085,3.744680851,1
67.74468085,3.858156028,1
67.63120567,3.858156028,1
67.74468085,3.971631206,1
67.63120567,3.971631206,1
67.74468085,4.085106383,1
67.63120567,4.085106383,1
67.63120567,4.19858156,1
67.5177305,4.19858156,1
67.63120567,4.312056738,1
67.5177305,4.312056738,1
67.63120567,4.425531915,1
67.5177305,4.425531915,1
67.63120567,4.539007092,1
67.5177305,4.539007092,1
67.63120567,4.65248227,1
67.5177305,4.65248227,1
67.63120567,4.765957447,1
67.5177305,4.765957447,1
67.5177305,4.879432624,1
67.40425532,4.879432624,1
67.5177305,4.992907801,1
67.40425532,4.992907801,1
67.5177305,5.106382979,1
67.40425532,5.106382979,1
67.5177305,5.219858156,1
67.40425532,5.219858156,1
67.5177305,5.333333333,1
67.40425532,5.333333333,1
67.5177305,5.446808511,1
67.40425532,5.446808511,1
67.5177305,5.560283688,1
67.40425532,5.560283688,1
67.5177305,5.673758865,1
67.40425532,5.673758865,1
67.5177305,5.787234043,1
67.40425532,5.787234043,1
67.5177305,5.90070922,1
67.40425532,5.90070922,1
67.5177305,6.014184397,1
67.40425532,6.014184397,1
67.5177305,6.127659574,1
67.40425532,6.127659574,1
67.5177305,6.241134752,1
67.40425532,6.241134752,1
67.40425532,6.354609929,1
67.29078014,6.354609929,1
67.5177305,6.468085106,1
67.40425532,6.468085106,1
67.5177305,6.581560284,1
67.40425532,6.581560284,1
